Datetime,Close,High,Low,Open,Volume,SMA_20,STDEV_20,BBU_20,BBL_20,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,ROC_5
2026-03-13 13:49:00+00:00,671.1199951171875,671.510009765625,671.0800170898438,671.47998046875,471022,670.6692504882812,0.9351613325758966,672.539573153433,668.7989278231295,48.75865167417155,671.255345960835,670.8037327025618,0.45161325827325527,0.36294369260839987,0.0886695656648554,-0.12203579504708184
2026-03-13 13:50:00+00:00,670.6900024414062,671.1400146484375,670.6500244140625,671.1300048828125,242364,670.7007507324219,0.9241042275620981,672.5489591875461,668.8525422772976,42.77648375891252,671.168370034769,670.7953082387725,0.3730617959965912,0.36496731328603815,0.00809448271055302,-0.20682279090165068
2026-03-13 13:51:00+00:00,670.6950073242188,670.9550170898438,670.6400146484375,670.6699829101562,169044,670.7390014648438,0.9061807208745513,672.5513629065929,668.9266400230947,42.86435193420268,671.0955450023768,670.7878785413982,0.30766646097856665,0.3535071428245439,-0.04584068184597723,-0.19270866069069914
2026-03-13 13:52:00+00:00,670.9400024414062,671.3400268554688,670.6599731445312,670.7000122070312,225324,670.8015014648438,0.8725034736838055,672.5465084122114,669.0564945174762,47.143011036389574,671.071615377612,670.7991469784358,0.2724683991762049,0.33729939409487614,-0.06483099491867123,-0.16219912919802626
2026-03-13 13:53:00+00:00,671.6500244140625,671.7000122070312,670.8350219726562,670.9600219726562,201805,670.9045013427734,0.8430559976823502,672.5906133381382,669.2183893474087,57.156482997366254,671.1606013832197,670.8621749366305,0.29842644658924655,0.3295248045937503,-0.031098358004503723,0.02383269773413854
2026-03-13 13:54:00+00:00,671.6912841796875,671.8599853515625,671.469970703125,671.6599731445312,271662,670.9998168945312,0.8171873342849886,672.6341915631012,669.3654422259613,57.65846542177525,671.2422448903686,670.9235904361161,0.3186544542525098,0.32735073452550223,-0.008696280272992407,0.08512472682329353
2026-03-13 13:55:00+00:00,671.47998046875,671.719970703125,671.38330078125,671.7100219726562,164946,671.09931640625,0.7413034432546387,672.5819232927593,669.6167095197407,54.15871708153251,671.2788195947351,670.9648045126075,0.3140150821275256,0.3246836040459069,-0.010668521918381302,0.11778586596908891
2026-03-13 13:56:00+00:00,670.9500122070312,671.5,670.719970703125,671.47998046875,355778,671.1778167724609,0.62340738492564,672.4246315423122,669.9310020026096,46.5302610607457,671.2282338427807,670.9637087862686,0.2645250565120705,0.3126518945391396,-0.04812683802706913,0.03802099017105043
2026-03-13 13:57:00+00:00,670.6799926757812,671.0800170898438,670.5499877929688,670.9400024414062,317325,671.2088165283203,0.5787094500103417,672.366235428341,670.0513976282996,43.19213344577456,671.1438890478577,670.9426927780844,0.20119626977327698,0.29036076958596707,-0.08916449981269009,-0.03875305760260295
2026-03-13 13:58:00+00:00,670.8900146484375,670.9099731445312,670.469970703125,670.7100219726562,173161,671.2313171386719,0.5555282887367873,672.3423737161455,670.1202605611983,46.412359218492355,671.1048314479468,670.9387906944069,0.16604075353995995,0.26549676637676567,-0.09945601283680572,-0.1131556224222563
2026-03-13 13:59:00+00:00,670.530029296875,670.989990234375,670.3699951171875,670.8900146484375,337345,671.238818359375,0.544328104710881,672.3274745687968,670.1501621499533,42.0159619246242,671.0164003477819,670.9085120723676,0.10788827541432511,0.23397506818427757,-0.12608679276995247,-0.17288520934594098
2026-03-13 14:00:00+00:00,671.0,671.25,670.5399780273438,670.5399780273438,318211,671.2603179931641,0.5246577806407741,672.3096335544457,670.2110024318825,48.830620167215514,671.013877217354,670.9152889558959,0.09858826145807598,0.20689770683903727,-0.1083094453809613,-0.07148097973299627
2026-03-13 14:01:00+00:00,670.875,671.0800170898438,670.6099853515625,671.02001953125,130072,671.2710693359375,0.5137987595044791,672.2986668549464,670.2434718169285,47.24034387459596,670.9925114916072,670.9123045887925,0.08020690281466614,0.18155954603416305,-0.10135264321949691,-0.011179999354127279
2026-03-13 14:02:00+00:00,669.8400268554688,670.8699951171875,669.780029296875,670.8699951171875,324914,671.2120697021485,0.6039794167295344,672.4200285356076,670.0041108686894,36.60930739333109,670.8152061629705,670.8328766085463,-0.01767044557573172,0.14171354771218408,-0.1593839932879158,-0.12524092405997722
2026-03-13 14:03:00+00:00,669.8203735351562,670.0700073242188,669.72998046875,669.8699951171875,213154,671.1190887451172,0.6679106749836087,672.4549100950844,669.78326739515,36.44160026096422,670.6621549894606,670.7578763808878,-0.09572139142710512,0.09422655988432625,-0.18994795131143138,-0.15943613557011238
2026-03-13 14:04:00+00:00,670.0800170898438,670.280029296875,669.8300170898438,669.8300170898438,144880,671.026089477539,0.6770206425376664,672.3801307626144,669.6720481924636,40.330600626118105,670.5725953125965,670.7076645815512,-0.1350692689546804,0.04836739411652492,-0.18343666307120532,-0.0671129087989053
2026-03-13 14:05:00+00:00,669.739990234375,670.530029296875,669.7304077148438,670.0900268554688,195738,670.9090881347656,0.6874163537667376,672.2839208422992,669.5342554272321,37.126749592099124,670.4445022236393,670.6359850002789,-0.19148277663953195,0.0003973599653135512,-0.19188013660484549,-0.18778088906482582
2026-03-13 14:06:00+00:00,670.1375122070312,670.2299194335938,669.6599731445312,669.75,110538,670.8164642333984,0.6582944448514267,672.1330531231013,669.4998753436955,42.84333993371936,670.3972729903151,670.599061089668,-0.20178809935293884,-0.040039731898336935,-0.16174836745460192,-0.10992924061393738
2026-03-13 14:07:00+00:00,669.6900024414062,670.3300170898438,669.6799926757812,670.1500244140625,141966,670.699462890625,0.6389164210077731,671.9772957326405,669.4216300486095,38.589630328075955,670.2884621366368,670.5317234120189,-0.2432612753821104,-0.08068404059509163,-0.16257723478701877,-0.022397051243228105
2026-03-13 14:08:00+00:00,669.3099975585938,669.7999877929688,669.22998046875,669.6900024414062,221186,670.590463256836,0.6814895331478585,671.9534423231316,669.2274841905403,35.37756886688615,670.1379291246301,670.441225200654,-0.30329607602391206,-0.1252064476808557,-0.17808962834305636,-0.07619594696244292
2026-03-13 14:09:00+00:00,669.3300170898438,669.7100219726562,669.1199951171875,669.3250122070312,254859,670.5009643554688,0.7244689951540538,671.9499023457769,669.0520263651607,35.68130736933112,670.0136349654322,670.3589134887421,-0.34527852330995756,-0.1692208628066761,-0.17605766050328148,-0.11192693124281172
2026-03-13 14:10:00+00:00,669.02001953125,669.5,668.9199829101562,669.2999877929688,257677,670.4174652099609,0.7943971962333816,672.0062596024277,668.8286708174942,33.08787745445815,669.860771052481,670.2597361585575,-0.3989651060765027,-0.21516971146064143,-0.18379539461586128,-0.10750003189641255
2026-03-13 14:11:00+00:00,668.93408203125,669.3599853515625,668.780029296875,669.0,188640,670.3294189453125,0.8571256843786736,672.0436703140698,668.6151675765551,32.38514703104525,669.7182035107531,670.1615395565348,-0.44333604578162067,-0.2608029783248373,-0.18253306745678338,-0.1795795868549277
2026-03-13 14:12:00+00:00,669.0250244140625,669.2100219726562,668.8200073242188,668.9400024414062,296570,670.2336700439453,0.8915952640544692,672.0168605720542,668.4504795158364,33.98302555974051,669.6115605728007,670.077353249685,-0.4657926768842344,-0.3018009180367167,-0.1639917588475177,-0.09929639458846617
2026-03-13 14:13:00+00:00,669.0,669.2899780273438,668.8900146484375,669.0100708007812,178060,670.1011688232422,0.8665919572981858,671.8343527378386,668.3679849086459,33.746697546548575,669.5174743308313,669.9975493052639,-0.4800749744325685,-0.3374557293158871,-0.14261924511668145,-0.04631599105414663
2026-03-13 14:14:00+00:00,668.8602905273438,669.219970703125,668.8602905273438,669.0,143462,669.959619140625,0.8233192331580684,671.6062576069412,668.3129806743088,32.39231374393134,669.4163691302947,669.9133079143068,-0.49693878401205893,-0.3693523402551215,-0.12758644375693745,-0.07017861899311084
2026-03-13 14:15:00+00:00,668.52001953125,668.969970703125,668.4600219726562,668.8599853515625,212976,669.81162109375,0.8013842190317625,671.4143895318135,668.2088526556864,29.307216825506487,669.2784691919801,669.8101013674136,-0.5316321754335149,-0.4018083072908002,-0.12982386814271474,-0.07473617909824481
2026-03-13 14:16:00+00:00,668.4600830078125,669.0900268554688,668.4099731445312,668.530029296875,197039,669.687124633789,0.8086001602456154,671.3043249542802,668.0699243132979,28.787129226553134,669.1525636251852,669.7101000074431,-0.557536382257922,-0.4329539222842246,-0.12458245997369743,-0.07085885383477653
2026-03-13 14:17:00+00:00,667.9500122070312,668.6500244140625,667.8599853515625,668.469970703125,401961,669.5506256103515,0.8609047606178318,671.2724351315871,667.8288160891159,24.76015477761446,668.9675557147,669.5797231333385,-0.612167418638478,-0.4687966215550753,-0.14337079708340272,-0.16068340761584698
2026-03-13 14:18:00+00:00,667.780029296875,668.1099853515625,667.72998046875,667.9400024414062,274974,669.3951263427734,0.8867276029798,671.1685815487331,667.6216711368138,23.576514856656217,668.7848593427269,669.4464124787855,-0.6615531360586147,-0.5073479244557833,-0.1542052116028314,-0.18235735472720283
2026-03-13 14:19:00+00:00,668.1799926757812,668.27001953125,667.72998046875,667.7999877929688,190369,669.2776245117187,0.8841243810818906,671.0458732738825,667.5093757495549,31.83376105168294,668.6918029324277,669.352603604489,-0.6608006720613275,-0.5380384739768921,-0.12276219808443545,-0.1017100074854449
2026-03-13 14:20:00+00:00,668.4401245117188,668.9144897460938,668.1099853515625,668.1799926757812,285649,669.1496307373047,0.8032507409808165,670.7561322192664,667.543129255343,36.629479001709264,668.6530831753955,669.2850125605801,-0.6319293851845487,-0.5568166562184234,-0.07511272896612531,-0.01195102871971443
2026-03-13 14:21:00+00:00,668.7999877929688,668.8300170898438,668.3900146484375,668.469970703125,149284,669.0458801269531,0.6954396798444982,670.4367594866421,667.655000767264,42.641378586297414,668.6756838857914,669.2490848000162,-0.5734009142248624,-0.5601335078197112,-0.013267406405151227,0.05084892782629691
2026-03-13 14:22:00+00:00,668.5,668.8099975585938,668.47998046875,668.7999877929688,184179,668.9788787841796,0.6792652030595631,670.3374091902988,667.6203483780605,39.294734485969215,668.6486555956695,669.1935970370521,-0.544941441382548,-0.5570950945322786,0.012153653149730603,0.08233966358521805
2026-03-13 14:23:00+00:00,669.0,669.030029296875,668.3300170898438,668.5,188752,668.9378601074219,0.6499111339511905,670.2376823753243,667.6380378395195,46.79053908099233,668.7027085809511,669.179256515789,-0.4765479348378676,-0.5409856625933964,0.0644377277555288,0.18269050429817746
2026-03-13 14:24:00+00:00,668.6500244140625,669.0800170898438,668.52001953125,669.0,121758,668.8663604736328,0.5938894111071013,670.054139295847,667.6785816514185,42.8062444246796,668.6946033245067,669.1400541378833,-0.44545081337662396,-0.521878692750042,0.076427879373418,0.07034507818752811
2026-03-13 14:25:00+00:00,668.5900268554688,668.75,668.4299926757812,668.6599731445312,112545,668.8088623046875,0.5595298092293854,669.9279219231463,667.6898026862287,42.143712660172916,668.6785146369624,669.099311376223,-0.42079673926059513,-0.5016623020521527,0.08086556279155754,0.022425695025329873
